Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
Liam Robbins,MIL,4.382,0.692,0.154,0.923,0.154,0.154,0.462,0.115,0.0,0.135,0.292,13,0.158,0.035,0.211
Lindy Waters,GSW,17.675,5.5,1.333,2.625,0.75,0.208,0.375,0.335,0.315,0.104,4.242,24,0.311,0.075,0.149
Lindy Waters III,GSW,16.511,5.5,0.714,2.429,0.357,0.357,0.571,0.324,0.275,0.119,3.486,14,0.333,0.043,0.147
Lonzo Ball,CHI,21.566,7.167,3.467,3.433,1.467,0.5,1.2,0.374,0.337,0.194,7.173,30,0.332,0.161,0.159
Luguentz Dort,OKC,29.003,9.708,1.667,4.375,1.062,0.667,0.729,0.402,0.375,0.304,8.0,48,0.335,0.057,0.151
Luka Dončić,DAL,35.66,28.136,7.818,8.318,2.0,0.409,3.409,0.465,0.351,0.765,22.7,22,0.789,0.219,0.233
Luka Garza,MIN,5.175,3.4,0.1,1.3,0.1,0.05,0.3,0.412,0.15,0.217,2.21,20,0.657,0.019,0.251
Luke Kennard,MEM,22.157,9.711,3.447,2.921,0.658,0.079,1.079,0.433,0.436,0.401,9.029,38,0.438,0.156,0.132
Luke Kornet,BOS,16.93,5.13,1.565,4.935,0.5,0.935,0.413,0.533,0.0,0.327,7.228,46,0.303,0.092,0.291
Malaki Branham,SAS,9.575,4.533,0.867,1.1,0.233,0.067,0.933,0.355,0.304,0.245,2.62,30,0.473,0.091,0.115
Malcolm Brogdon,WAS,24.129,13.095,3.952,3.952,0.524,0.238,1.619,0.417,0.279,0.723,10.362,21,0.543,0.164,0.164
Malik Beasley,DET,27.931,16.404,1.808,2.885,0.923,0.038,1.096,0.425,0.397,0.443,10.854,52,0.587,0.065,0.103
Malik Monk,SAC,32.062,18.093,5.744,3.791,1.023,0.605,2.116,0.441,0.297,0.664,13.77,43,0.564,0.179,0.118
MarJon Beauchamp,MIL,4.573,1.926,0.296,1.185,0.111,0.037,0.481,0.257,0.204,0.167,1.104,27,0.421,0.065,0.259
Marcus Sasser,DET,14.248,5.854,2.317,1.244,0.683,0.098,0.951,0.398,0.271,0.238,4.676,41,0.411,0.163,0.087
Marcus Smart,MEM,21.062,8.684,3.737,2.263,1.211,0.316,1.842,0.351,0.31,0.354,6.747,19,0.412,0.177,0.107
Mark Williams,CHO,25.015,15.565,2.478,9.609,0.652,1.174,1.0,0.581,0.0,0.715,15.713,23,0.622,0.099,0.384
Marvin Bagley,WAS,8.763,4.895,0.368,2.947,0.368,0.263,0.579,0.469,0.035,0.303,4.342,19,0.559,0.042,0.336
Mason Plumlee,PHO,17.755,3.94,1.86,6.36,0.48,0.76,0.9,0.496,0.0,0.335,5.598,50,0.222,0.105,0.358
Matas Buzelis,CHI,14.249,5.96,0.44,2.84,0.26,0.88,0.58,0.373,0.29,0.373,4.364,50,0.418,0.031,0.199
Matt Ryan,NYK,3.639,1.471,0.059,0.412,0.118,0.0,0.176,0.171,0.112,0.059,0.653,17,0.404,0.016,0.113
Max Christie,LAL,25.329,8.75,1.521,2.875,0.75,0.458,0.854,0.47,0.371,0.517,7.021,48,0.345,0.06,0.114
Max Strus,CLE,24.818,8.5,2.958,4.333,0.625,0.375,1.0,0.417,0.349,0.167,7.488,24,0.342,0.119,0.175
Maxi Kleber,DAL,18.728,3.029,1.265,2.794,0.265,0.5,0.676,0.322,0.213,0.191,2.609,34,0.162,0.068,0.149
Micah Potter,UTA,17.286,3.727,0.727,3.818,0.227,0.409,0.636,0.401,0.322,0.125,3.464,22,0.216,0.042,0.221
Michael Porter,DEN,34.389,18.633,2.7,6.6,0.733,0.4,1.5,0.521,0.411,0.638,14.717,30,0.542,0.079,0.192
Michael Porter Jr.,DEN,31.757,19.409,1.455,6.455,0.5,0.591,1.182,0.516,0.422,0.607,15.4,22,0.611,0.046,0.203
Mikal Bridges,NYK,38.338,18.196,3.255,3.098,0.98,0.529,1.569,0.486,0.339,0.375,13.259,51,0.475,0.085,0.081
Mike Conley,MIN,25.091,8.234,4.596,2.681,1.234,0.191,1.085,0.369,0.4,0.457,8.26,47,0.328,0.183,0.107
Miles Bridges,CHO,31.996,19.6,3.8,7.714,0.657,0.6,1.971,0.435,0.308,0.766,14.643,35,0.613,0.119,0.241
